ticker,day
AAPL,2025-10-15
AAPL,2025-10-16
AAPL,2025-10-17
AAPL,2025-10-20
AAPL,2025-10-21
AAPL,2025-10-22
AAPL,2025-10-23
AAPL,2025-10-24
AAPL,2025-10-27
AAPL,2025-10-28
AAPL,2025-10-29
AAPL,2025-10-30
AAPL,2025-10-31
AAPL,2025-11-03
AAPL,2025-11-04
AAPL,2025-11-05
AAPL,2025-11-06
AAPL,2025-11-07
AAPL,2025-11-10
AAPL,2025-11-11
AAPL,2025-11-12
AAPL,2025-11-13
AAPL,2025-11-14
AAPL,2025-11-17
AAPL,2025-11-18
AAPL,2025-11-19
AAPL,2025-11-20
AAPL,2025-11-21
AAPL,2025-11-24
AAPL,2025-11-25
AAPL,2025-11-26
AAPL,2025-11-27
AAPL,2025-11-28
AAPL,2025-12-01
AAPL,2025-12-02
AAPL,2025-12-03
AAPL,2025-12-04
AAPL,2025-12-05
AAPL,2025-12-08
AAPL,2025-12-09
AAPL,2025-12-10
AAPL,2025-12-11
AAPL,2025-12-12
AAPL,2025-12-15
AAPL,2025-12-16
AAPL,2025-12-17
AAPL,2025-12-18
AAPL,2025-12-19
AAPL,2025-12-22
AAPL,2025-12-23
AAPL,2025-12-24
AAPL,2025-12-25
AAPL,2025-12-26
AAPL,2025-12-29
AAPL,2025-12-30
AAPL,2025-12-31
AAPL,2026-01-01
AAPL,2026-01-02
AAPL,2026-01-05
AAPL,2026-01-06
AAPL,2026-01-07
AAPL,2026-01-08
AAPL,2026-01-09
AAPL,2026-01-12
AAPL,2026-01-13
AAPL,2026-01-14
AAPL,2026-01-15
MSFT,2025-10-15
MSFT,2025-10-16
MSFT,2025-10-17
MSFT,2025-10-20
MSFT,2025-10-21
MSFT,2025-10-22
MSFT,2025-10-23
MSFT,2025-10-24
MSFT,2025-10-27
MSFT,2025-10-28
MSFT,2025-10-29
MSFT,2025-10-30
MSFT,2025-10-31
MSFT,2025-11-03
MSFT,2025-11-04
MSFT,2025-11-05
MSFT,2025-11-06
MSFT,2025-11-07
MSFT,2025-11-10
MSFT,2025-11-11
MSFT,2025-11-12
MSFT,2025-11-13
MSFT,2025-11-14
MSFT,2025-11-17
MSFT,2025-11-18
MSFT,2025-11-19
MSFT,2025-11-20
MSFT,2025-11-21
MSFT,2025-11-24
MSFT,2025-11-25
MSFT,2025-11-26
MSFT,2025-11-27
MSFT,2025-11-28
MSFT,2025-12-01
MSFT,2025-12-02
MSFT,2025-12-03
MSFT,2025-12-04
MSFT,2025-12-05
MSFT,2025-12-08
MSFT,2025-12-09
MSFT,2025-12-10
MSFT,2025-12-11
MSFT,2025-12-12
MSFT,2025-12-15
MSFT,2025-12-16
MSFT,2025-12-17
MSFT,2025-12-18
MSFT,2025-12-19
MSFT,2025-12-22
MSFT,2025-12-23
MSFT,2025-12-24
MSFT,2025-12-25
MSFT,2025-12-26
MSFT,2025-12-29
MSFT,2025-12-30
MSFT,2025-12-31
MSFT,2026-01-01
MSFT,2026-01-02
MSFT,2026-01-05
MSFT,2026-01-06
MSFT,2026-01-07
MSFT,2026-01-08
MSFT,2026-01-09
MSFT,2026-01-12
MSFT,2026-01-13
MSFT,2026-01-14
MSFT,2026-01-15
NVDA,2025-10-15
NVDA,2025-10-16
NVDA,2025-10-17
NVDA,2025-10-20
NVDA,2025-10-21
NVDA,2025-10-22
NVDA,2025-10-23
NVDA,2025-10-24
NVDA,2025-10-27
NVDA,2025-10-28
NVDA,2025-10-29
NVDA,2025-10-30
NVDA,2025-10-31
NVDA,2025-11-03
NVDA,2025-11-04
NVDA,2025-11-05
NVDA,2025-11-06
NVDA,2025-11-07
NVDA,2025-11-10
NVDA,2025-11-11
NVDA,2025-11-12
NVDA,2025-11-13
NVDA,2025-11-14
NVDA,2025-11-17
NVDA,2025-11-18
NVDA,2025-11-19
NVDA,2025-11-20
NVDA,2025-11-21
NVDA,2025-11-24
NVDA,2025-11-25
NVDA,2025-11-26
NVDA,2025-11-27
NVDA,2025-11-28
NVDA,2025-12-01
NVDA,2025-12-02
NVDA,2025-12-03
NVDA,2025-12-04
NVDA,2025-12-05
NVDA,2025-12-08
NVDA,2025-12-09
NVDA,2025-12-10
NVDA,2025-12-11
NVDA,2025-12-12
NVDA,2025-12-15
NVDA,2025-12-16
NVDA,2025-12-17
NVDA,2025-12-18
NVDA,2025-12-19
NVDA,2025-12-22
NVDA,2025-12-23
NVDA,2025-12-24
NVDA,2025-12-25
NVDA,2025-12-26
NVDA,2025-12-29
NVDA,2025-12-30
NVDA,2025-12-31
NVDA,2026-01-01
NVDA,2026-01-02
NVDA,2026-01-05
NVDA,2026-01-06
NVDA,2026-01-07
NVDA,2026-01-08
NVDA,2026-01-09
NVDA,2026-01-12
NVDA,2026-01-13
NVDA,2026-01-14
NVDA,2026-01-15
TSLA,2025-10-15
TSLA,2025-10-16
TSLA,2025-10-17
TSLA,2025-10-20
TSLA,2025-10-21
TSLA,2025-10-22
TSLA,2025-10-23
TSLA,2025-10-24
TSLA,2025-10-27
TSLA,2025-10-28
TSLA,2025-10-29
TSLA,2025-10-30
TSLA,2025-10-31
