ticker,day,reason
AAPL,2025-11-27,no_results
AAPL,2025-12-25,no_results
AAPL,2026-01-01,no_results
MSFT,2025-11-27,no_results
MSFT,2025-12-25,no_results
MSFT,2026-01-01,no_results
NVDA,2025-11-27,no_results
NVDA,2025-12-25,no_results
NVDA,2026-01-01,no_results
TSLA,2025-11-27,no_results
TSLA,2025-12-25,no_results
TSLA,2026-01-01,no_results
META,2025-11-27,no_results
META,2025-12-25,no_results
META,2026-01-01,no_results
AMD,2025-11-27,no_results
AMD,2025-12-25,no_results
AMD,2026-01-01,no_results
NFLX,2025-11-27,no_results
NFLX,2025-12-25,no_results
NFLX,2026-01-01,no_results
PLTR,2025-11-27,no_results
PLTR,2025-12-25,no_results
PLTR,2026-01-01,no_results
SPY,2025-11-27,no_results
SPY,2025-12-25,no_results
SPY,2026-01-01,no_results
QQQ,2025-11-27,no_results
QQQ,2025-12-25,no_results
QQQ,2026-01-01,no_results
XLK,2025-11-27,no_results
XLK,2025-12-25,no_results
XLK,2026-01-01,no_results
