event_id,ticker,t0_utc,direction,has_pre_event_news,is_opening_bell,is_etf,is_up_spike,micro_label,micro_conf,micro_cont_score,micro_rev_score,micro_who,news_label,news_conf,news_cont_score,news_rev_score,macro_label,macro_conf,macro_cont_score,macro_rev_score,ensemble_label,ensemble_score,is_macro_driven,dir_weight,dir_prior,open_adj_vol_mult,open_adj_range_mult,true_label_proxy,elapsed_s
AAPL_20251120_143000,AAPL,2025-11-20 14:30:00+00:00,1,True,True,False,True,reversal,0.67,8,12,retail_momentum,reversal,0.5,3,5,reversal,0.5,5,9,reversal,0.5459,False,0.22,0.62,,,continuation,11.9
AAPL_20251111_143500,AAPL,2025-11-11 14:35:00+00:00,1,True,True,False,True,reversal,0.78,7,15,retail_momentum,reversal,0.6,1,4,continuation,0.56,5,4,reversal,0.5294,False,0.22,0.62,,,continuation,10.5
AAPL_20260105_143000,AAPL,2026-01-05 14:30:00+00:00,-1,True,True,False,False,reversal,0.95,0,20,retail_momentum,reversal,0.54,6,7,reversal,0.67,5,9,reversal,0.6659,True,0.22,0.432,,,reversal,10.9
AAPL_20251031_133000,AAPL,2025-10-31 13:30:00+00:00,-1,False,True,False,False,reversal,0.83,4,14,retail_momentum,reversal,0.5,2,3,continuation,0.95,8,0,reversal,0.5154,True,0.22,0.432,,,continuation,10.2
AAPL_20260106_143000,AAPL,2026-01-06 14:30:00+00:00,-1,True,True,False,False,continuation,0.71,12,7,informed_seller,reversal,0.57,3,7,continuation,0.95,10,0,continuation,0.4861,True,0.22,0.432,,,unclear,10.2
AAPL_20251125_143000,AAPL,2025-11-25 14:30:00+00:00,1,False,True,False,True,continuation,0.82,16,5,informed_buyer,reversal,0.5,3,5,continuation,0.77,8,5,continuation,0.5066,True,0.22,0.527,,,continuation,10.7
AAPL_20251211_143000,AAPL,2025-12-11 14:30:00+00:00,-1,True,True,False,False,reversal,0.95,0,20,retail_momentum,reversal,0.6,1,4,continuation,0.67,8,4,reversal,0.5607,False,0.22,0.508,,,continuation,10.1
AAPL_20251103_143000,AAPL,2025-11-03 14:30:00+00:00,-1,True,True,False,False,continuation,0.71,12,8,informed_seller,reversal,0.5,6,11,reversal,0.67,5,9,unclear,0.3436,True,0.22,0.432,,,continuation,11.3
AAPL_20251229_143000,AAPL,2025-12-29 14:30:00+00:00,1,True,True,False,True,reversal,0.75,5,12,retail_momentum,reversal,0.5,5,8,continuation,0.95,10,0,reversal,0.4784,True,0.22,0.527,,,unclear,13.9
AAPL_20251117_143000,AAPL,2025-11-17 14:30:00+00:00,-1,True,True,False,False,reversal,0.84,4,15,retail_momentum,reversal,0.5,6,7,continuation,0.73,7,4,reversal,0.5189,True,0.22,0.432,,,reversal,11.3
