event_id,ticker,t0_utc,direction,has_pre_event_news,is_opening_bell,is_etf,is_up_spike,micro_label,micro_conf,micro_cont_score,micro_rev_score,micro_who,news_label,news_conf,news_cont_score,news_rev_score,macro_label,macro_conf,macro_cont_score,macro_rev_score,ensemble_label,ensemble_score,is_macro_driven,dir_weight,dir_prior,open_adj_vol_mult,open_adj_range_mult,true_label_proxy,elapsed_s
AAPL_20251218_142500,AAPL,2025-12-18 14:25:00+00:00,1,True,True,False,True,reversal,0.67,8,12,retail_momentum,reversal,0.67,0,4,reversal,0.67,2,4,reversal,0.6054,False,0.22,0.62,3.42,6.52,reversal,11.6
AAPL_20250910_131000,AAPL,2025-09-10 13:10:00+00:00,1,True,True,False,True,reversal,0.55,9,12,retail_momentum,reversal,0.5,3,5,continuation,0.56,5,4,reversal,0.4289,False,0.22,0.62,2.38,2.7,reversal,9.8
AAPL_20260204_142500,AAPL,2026-02-04 14:25:00+00:00,1,True,True,False,True,reversal,0.67,8,12,retail_momentum,reversal,0.5,5,8,reversal,0.5,5,7,reversal,0.5459,False,0.22,0.62,4.8,8.13,continuation,10.1
AAPL_20240612_132500,AAPL,2024-06-12 13:25:00+00:00,1,True,True,False,True,reversal,0.71,4,12,retail_momentum,reversal,0.59,8,9,continuation,0.64,9,2,reversal,0.5029,False,0.22,0.62,18.04,7.35,continuation,13.2
AAPL_20250211_140000,AAPL,2025-02-11 14:00:00+00:00,1,False,True,False,True,reversal,0.83,4,15,retail_momentum,reversal,0.63,3,8,reversal,0.5,5,7,reversal,0.6074,True,0.22,0.527,22.61,20.83,continuation,9.6
AAPL_20251215_142500,AAPL,2025-12-15 14:25:00+00:00,1,True,True,False,True,reversal,0.95,0,20,retail_momentum,continuation,0.67,7,5,continuation,0.67,10,2,reversal,0.4689,False,0.22,0.62,6.8,7.31,reversal,11.7
AAPL_20260224_143000,AAPL,2026-02-24 14:30:00+00:00,1,True,True,False,True,continuation,0.85,17,5,informed_buyer,reversal,0.5,3,5,continuation,0.69,8,5,continuation,0.5051,True,0.22,0.527,110.72,18.43,unclear,11.6
AAPL_20250806_121500,AAPL,2025-08-06 12:15:00+00:00,1,True,False,False,True,reversal,0.74,7,14,retail_momentum,continuation,0.57,7,3,continuation,0.6,5,2,reversal,0.3954,False,0.22,0.62,6.49,7.74,unclear,12.2
AAPL_20250620_132500,AAPL,2025-06-20 13:25:00+00:00,1,False,True,False,True,reversal,0.67,8,12,retail_momentum,reversal,0.6,2,3,reversal,0.64,2,9,reversal,0.5869,False,0.22,0.62,17.85,9.22,unclear,8.6
AAPL_20250523_111500,AAPL,2025-05-23 11:15:00+00:00,-1,False,False,False,False,reversal,0.65,10,12,informed_seller,reversal,0.6,2,3,reversal,0.5,3,5,reversal,0.5474,True,0.22,0.432,3.45,10.0,continuation,9.7
AAPL_20260202_142500,AAPL,2026-02-02 14:25:00+00:00,1,True,True,False,True,reversal,0.63,9,12,retail_momentum,reversal,0.57,3,11,reversal,0.5,5,5,reversal,0.5459,False,0.22,0.62,10.79,13.52,continuation,9.7
AAPL_20251120_143000,AAPL,2025-11-20 14:30:00+00:00,1,True,True,False,True,reversal,0.67,8,12,retail_momentum,reversal,0.5,3,5,reversal,0.6,2,5,reversal,0.5609,False,0.22,0.62,134.91,12.39,continuation,9.4
AAPL_20250310_133000,AAPL,2025-03-10 13:30:00+00:00,-1,True,True,False,False,reversal,0.66,9,12,retail_momentum,reversal,0.6,2,5,continuation,0.5,3,2,reversal,0.4592,False,0.22,0.508,147.55,19.0,continuation,8.6
AAPL_20260102_142500,AAPL,2026-01-02 14:25:00+00:00,-1,False,True,False,False,reversal,0.63,9,12,retail_momentum,reversal,0.6,2,3,reversal,0.64,2,9,reversal,0.5447,False,0.22,0.508,5.14,3.48,reversal,11.1
AAPL_20241111_142500,AAPL,2024-11-11 14:25:00+00:00,-1,False,True,False,False,reversal,0.75,4,12,retail_momentum,reversal,0.6,2,3,reversal,0.5,5,5,reversal,0.5657,False,0.22,0.508,4.35,3.83,continuation,8.7
AAPL_20250226_142500,AAPL,2025-02-26 14:25:00+00:00,-1,True,True,False,False,reversal,0.85,4,16,retail_momentum,reversal,0.75,1,8,continuation,0.56,5,4,reversal,0.5557,False,0.22,0.508,7.55,8.26,continuation,8.3
AAPL_20251103_143000,AAPL,2025-11-03 14:30:00+00:00,-1,True,True,False,False,reversal,0.65,9,12,stop_cascade,reversal,0.5,6,11,reversal,0.56,2,7,reversal,0.5364,True,0.22,0.432,106.32,6.96,continuation,10.5
AMD_20251006_105000,AMD,2025-10-06 10:50:00+00:00,1,True,False,False,True,continuation,0.67,12,9,informed_buyer,reversal,0.6,1,4,reversal,0.64,2,9,reversal,0.3524,False,0.22,0.62,55.77,111.77,continuation,10.3
AMD_20240702_132500,AMD,2024-07-02 13:25:00+00:00,1,True,True,False,True,reversal,0.95,0,20,retail_momentum,reversal,0.6,2,8,reversal,0.5,7,7,reversal,0.6639,False,0.22,0.62,1.64,4.24,unclear,8.1
AMD_20241213_142500,AMD,2024-12-13 14:25:00+00:00,-1,False,True,False,False,reversal,0.95,0,20,stop_cascade,reversal,0.5,3,5,reversal,0.64,2,9,reversal,0.6534,True,0.22,0.432,3.18,3.61,continuation,9.2
AMD_20250620_132500,AMD,2025-06-20 13:25:00+00:00,1,True,True,False,True,reversal,0.75,7,15,retail_momentum,reversal,0.5,6,7,reversal,0.5,2,4,reversal,0.5739,False,0.22,0.62,8.67,5.94,continuation,10.0
AMD_20250514_121000,AMD,2025-05-14 12:10:00+00:00,1,False,False,False,True,reversal,0.9,0,18,retail_momentum,reversal,0.5,3,5,continuation,0.95,10,0,reversal,0.5514,False,0.22,0.62,2.66,1.29,continuation,9.4
AMD_20240701_131500,AMD,2024-07-01 13:15:00+00:00,-1,True,True,False,False,reversal,0.83,4,15,retail_momentum,reversal,0.5,3,5,reversal,0.5,3,5,reversal,0.5737,False,0.22,0.508,0.52,0.52,continuation,8.5
AMD_20250905_132500,AMD,2025-09-05 13:25:00+00:00,-1,False,True,False,False,reversal,0.95,0,20,stop_cascade,reversal,0.67,2,3,reversal,0.5,0,5,reversal,0.6497,False,0.22,0.508,7.65,5.72,continuation,8.6
AMD_20250508_132500,AMD,2025-05-08 13:25:00+00:00,1,True,True,False,True,reversal,0.95,0,20,retail_momentum,continuation,0.67,9,3,reversal,0.5,3,5,reversal,0.5439,False,0.22,0.62,2.91,1.62,continuation,8.7
AMD_20260416_131500,AMD,2026-04-16 13:15:00+00:00,1,True,True,False,True,continuation,0.55,12,10,informed_buyer,continuation,0.63,8,3,reversal,0.5,5,9,continuation,0.4021,False,0.22,0.62,16.1,24.94,continuation,10.2
AMD_20241216_142000,AMD,2024-12-16 14:20:00+00:00,-1,False,True,False,False,reversal,0.67,8,12,retail_momentum,reversal,0.5,3,5,reversal,0.5,3,5,reversal,0.5177,False,0.22,0.508,1.92,1.48,continuation,9.2
AMD_20260107_142500,AMD,2026-01-07 14:25:00+00:00,-1,True,True,False,False,continuation,0.71,12,8,informed_seller,reversal,0.71,1,6,reversal,0.64,2,9,reversal,0.3629,True,0.22,0.432,2.88,6.9,continuation,10.1
AMD_20250918_110000,AMD,2025-09-18 11:00:00+00:00,-1,False,False,False,False,continuation,0.75,12,8,informed_seller,reversal,0.6,2,5,reversal,0.5,5,5,continuation,0.3743,False,0.22,0.508,16.49,26.94,continuation,8.3
AMD_20250814_123000,AMD,2025-08-14 12:30:00+00:00,-1,False,False,False,False,reversal,0.76,4,14,retail_momentum,reversal,0.6,2,3,continuation,0.95,10,0,reversal,0.5109,True,0.22,0.432,9.81,8.75,reversal,8.2
