event_id,ticker,t0_utc,direction,has_pre_event_news,is_opening_bell,is_etf,is_up_spike,micro_label,micro_conf,micro_cont_score,micro_rev_score,micro_who,news_label,news_conf,news_cont_score,news_rev_score,macro_label,macro_conf,macro_cont_score,macro_rev_score,ensemble_label,ensemble_score,is_macro_driven,dir_weight,dir_prior,open_adj_vol_mult,open_adj_range_mult,true_label_proxy,elapsed_s
AAPL_20251218_142500,AAPL,2025-12-18 14:25:00+00:00,1,True,True,False,True,continuation,0.52,11,10,informed_buyer,continuation,0.55,2,0,continuation,0.95,7,0,continuation,0.5181,False,0.22,0.62,3.42,6.52,reversal,10.0
AAPL_20250910_131000,AAPL,2025-09-10 13:10:00+00:00,1,True,True,False,True,continuation,0.67,12,9,informed_buyer,continuation,0.55,2,0,continuation,0.5,5,5,continuation,0.5031,False,0.22,0.62,2.38,2.7,reversal,9.3
AAPL_20260204_142500,AAPL,2026-02-04 14:25:00+00:00,1,True,True,False,True,continuation,0.67,12,8,informed_buyer,continuation,0.6,3,2,continuation,0.95,5,0,continuation,0.5806,False,0.22,0.62,4.8,8.13,continuation,10.5
AAPL_20240612_132500,AAPL,2024-06-12 13:25:00+00:00,1,True,True,False,True,reversal,0.5,9,10,informed_buyer,continuation,0.55,11,5,reversal,0.6,2,5,reversal,0.4014,False,0.22,0.62,18.04,7.35,continuation,12.8
AAPL_20250211_140000,AAPL,2025-02-11 14:00:00+00:00,1,False,True,False,True,reversal,0.67,8,14,informed_buyer,continuation,0.55,2,2,reversal,0.65,2,5,reversal,0.4479,True,0.22,0.527,22.61,20.83,continuation,10.9
AAPL_20251215_142500,AAPL,2025-12-15 14:25:00+00:00,1,True,True,False,True,reversal,0.87,2,17,retail_momentum,continuation,0.62,5,0,continuation,0.95,7,0,reversal,0.4409,False,0.22,0.62,6.8,7.31,reversal,8.0
AAPL_20260224_143000,AAPL,2026-02-24 14:30:00+00:00,1,True,True,False,True,continuation,0.87,18,4,informed_buyer,continuation,0.62,5,0,continuation,0.5,2,0,continuation,0.6076,True,0.22,0.527,110.72,18.43,unclear,8.2
AAPL_20250806_121500,AAPL,2025-08-06 12:15:00+00:00,1,True,False,False,True,continuation,0.67,10,8,informed_buyer,continuation,0.78,7,0,continuation,0.95,10,0,continuation,0.6166,False,0.22,0.62,6.49,7.74,unclear,8.8
AAPL_20250620_132500,AAPL,2025-06-20 13:25:00+00:00,1,False,True,False,True,continuation,0.73,14,9,informed_buyer,continuation,0.55,2,0,continuation,0.95,7,0,continuation,0.5916,False,0.22,0.62,17.85,9.22,unclear,8.2
AAPL_20250310_133000,AAPL,2025-03-10 13:30:00+00:00,-1,True,True,False,False,continuation,0.6,12,10,informed_seller,continuation,0.55,2,0,continuation,0.5,2,0,continuation,0.5068,False,0.22,0.508,147.55,19.0,continuation,8.1
AAPL_20260102_142500,AAPL,2026-01-02 14:25:00+00:00,-1,False,True,False,False,continuation,0.53,9,8,informed_seller,continuation,0.55,2,0,continuation,0.5,2,0,continuation,0.4823,False,0.22,0.508,5.14,3.48,reversal,9.0
AAPL_20241111_142500,AAPL,2024-11-11 14:25:00+00:00,-1,False,True,False,False,reversal,0.55,9,12,informed_seller,continuation,0.55,2,0,continuation,0.95,7,0,continuation,0.3643,False,0.22,0.508,4.35,3.83,continuation,10.3
AAPL_20250226_142500,AAPL,2025-02-26 14:25:00+00:00,-1,True,True,False,False,reversal,0.56,9,12,informed_seller,continuation,0.55,2,0,continuation,0.5,2,0,unclear,0.3042,False,0.22,0.508,7.55,8.26,continuation,9.4
AAPL_20250506_132500,AAPL,2025-05-06 13:25:00+00:00,1,True,True,False,True,reversal,0.87,2,16,retail_momentum,continuation,0.55,2,0,continuation,0.5,2,0,reversal,0.4409,False,0.22,0.62,5.94,5.96,continuation,9.5
AAPL_20260416_132500,AAPL,2026-04-16 13:25:00+00:00,-1,False,True,False,False,continuation,0.65,12,10,informed_seller,continuation,0.55,2,0,continuation,0.95,10,0,continuation,0.5751,True,0.22,0.432,10.83,5.65,continuation,9.4
AAPL_20251125_143000,AAPL,2025-11-25 14:30:00+00:00,1,False,True,False,True,continuation,0.87,18,4,informed_buyer,continuation,0.55,2,0,continuation,0.95,7,0,continuation,0.6611,True,0.22,0.527,152.87,17.83,continuation,10.1
AAPL_20260407_133000,AAPL,2026-04-07 13:30:00+00:00,-1,True,True,False,False,continuation,0.76,15,9,informed_seller,continuation,0.5,2,0,continuation,0.5,2,0,continuation,0.5361,True,0.22,0.432,91.97,15.63,continuation,8.4
AAPL_20250307_143000,AAPL,2025-03-07 14:30:00+00:00,1,True,True,False,True,continuation,0.84,18,6,informed_buyer,continuation,0.82,9,0,continuation,0.95,8,0,continuation,0.7046,True,0.22,0.527,56.53,6.48,continuation,9.6
AAPL_20251111_143500,AAPL,2025-11-11 14:35:00+00:00,1,True,True,False,True,continuation,0.67,12,9,informed_buyer,continuation,0.55,2,0,continuation,0.95,7,0,continuation,0.5706,False,0.22,0.62,31.93,4.43,continuation,10.3
AAPL_20250402_200000,AAPL,2025-04-02 20:00:00+00:00,-1,True,False,False,False,reversal,0.95,0,20,retail_momentum,reversal,0.5,3,5,continuation,0.95,2,0,reversal,0.6193,False,0.38,0.508,13.08,9.09,continuation,10.0
AAPL_20251010_145500,AAPL,2025-10-10 14:55:00+00:00,-1,False,False,False,False,continuation,0.67,12,8,informed_seller,continuation,0.55,2,0,reversal,0.6,2,5,continuation,0.4741,True,0.3,0.432,45.8,10.3,continuation,12.0
AAPL_20250404_100500,AAPL,2025-04-04 10:05:00+00:00,-1,True,False,False,False,continuation,0.71,12,8,informed_seller,continuation,0.62,5,0,continuation,0.95,5,0,continuation,0.6101,True,0.22,0.432,2.17,5.26,continuation,9.5
AAPL_20250609_171000,AAPL,2025-06-09 17:10:00+00:00,-1,False,False,False,False,reversal,0.71,4,12,informed_seller,continuation,0.55,2,0,continuation,0.95,2,0,continuation,0.405,False,0.3,0.508,155.07,13.91,unclear,8.8
AAPL_20250806_214000,AAPL,2025-08-06 21:40:00+00:00,1,False,False,False,True,continuation,0.85,17,6,informed_buyer,continuation,0.55,2,0,continuation,0.95,4,0,continuation,0.7297,True,0.38,0.527,10.88,11.96,continuation,8.3
AAPL_20250916_134000,AAPL,2025-09-16 13:40:00+00:00,1,True,True,False,True,reversal,0.85,2,20,retail_momentum,continuation,0.55,4,0,continuation,0.95,2,0,reversal,0.4339,False,0.22,0.62,83.53,5.7,continuation,9.0
AAPL_20251010_132500,AAPL,2025-10-10 13:25:00+00:00,1,True,True,False,True,continuation,0.78,14,6,informed_buyer,continuation,0.55,2,0,continuation,0.95,7,0,continuation,0.6296,True,0.22,0.527,4.14,8.39,unclear,10.3
AAPL_20250528_225500,AAPL,2025-05-28 22:55:00+00:00,1,False,False,False,True,continuation,0.66,15,9,informed_buyer,continuation,0.55,2,0,continuation,0.95,7,0,continuation,0.6279,False,0.38,0.62,1.49,1.74,continuation,10.1
AAPL_20250102_143000,AAPL,2025-01-02 14:30:00+00:00,-1,False,True,False,False,continuation,0.78,15,8,informed_seller,continuation,0.62,5,0,continuation,0.5,2,0,continuation,0.5671,True,0.22,0.432,128.35,12.17,continuation,12.3
AAPL_20241001_132000,AAPL,2024-10-01 13:20:00+00:00,-1,False,True,False,False,reversal,0.67,8,12,informed_seller,continuation,0.62,2,0,continuation,0.95,2,0,continuation,0.3783,False,0.22,0.508,7.06,3.58,continuation,11.1
AAPL_20240611_133000,AAPL,2024-06-11 13:30:00+00:00,1,True,True,False,True,continuation,0.87,19,4,informed_buyer,continuation,0.82,9,0,continuation,0.95,2,0,continuation,0.7151,True,0.22,0.527,231.99,10.83,continuation,13.8
AAPL_20250721_133500,AAPL,2025-07-21 13:35:00+00:00,1,False,True,False,True,continuation,0.66,12,8,informed_buyer,continuation,0.51,2,0,continuation,0.95,5,0,continuation,0.5591,False,0.22,0.62,117.3,5.52,unclear,11.0
AAPL_20250220_142500,AAPL,2025-02-20 14:25:00+00:00,1,False,True,False,True,continuation,0.67,12,9,informed_buyer,continuation,0.55,2,0,continuation,0.5,2,0,continuation,0.5031,False,0.22,0.62,1.9,5.0,unclear,12.7
AAPL_20251121_142000,AAPL,2025-11-21 14:20:00+00:00,-1,True,True,False,False,reversal,0.63,9,12,informed_seller,continuation,0.55,2,0,continuation,0.95,2,0,continuation,0.3643,False,0.22,0.508,2.08,4.78,reversal,11.9
AAPL_20251119_142500,AAPL,2025-11-19 14:25:00+00:00,-1,True,True,False,False,reversal,0.54,9,12,informed_seller,reversal,0.6,2,5,continuation,0.95,2,0,reversal,0.4172,False,0.22,0.508,8.43,10.21,reversal,10.8
