event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,strength_score,keep_reason
AAPL_20251218_142500,AAPL,2025-12-18 14:25:00+00:00,1,4,205.16989349959937,5.938784998901915,1320.9143043336592,31.83551248629676,0.4337116163307928,2025-12-18 14:10:00+00:00,2025-12-18 14:25:00+00:00,2025-12-18 14:30:00+00:00,2025-12-18 15:25:00+00:00,0.0042198737707326,-0.0101216793948918,reversal,0.950839866227702,min_quota
AAPL_20250910_131000,AAPL,2025-09-10 13:10:00+00:00,1,12,182.1517323364685,7.228447458946839,642.276586801177,18.49522779432292,0.7715157133391936,2025-09-10 12:55:00+00:00,2025-09-10 13:10:00+00:00,2025-09-10 13:15:00+00:00,2025-09-10 14:10:00+00:00,0.0031329127505257,-0.0192949430991701,reversal,0.9394577715785946,min_quota
AAPL_20260204_142500,AAPL,2026-02-04 14:25:00+00:00,1,12,176.32939438700478,6.789907155579269,1626.1100275068768,13.387600855178237,0.2294722940573445,2026-02-04 14:10:00+00:00,2026-02-04 14:25:00+00:00,2026-02-04 14:30:00+00:00,2026-02-04 15:25:00+00:00,0.0060439465053667,0.0136946066013143,continuation,0.9386472899955116,min_quota
AAPL_20240612_132500,AAPL,2024-06-12 13:25:00+00:00,1,10,262.5406533663499,7.447603681136468,612.4992705098949,18.04169181404551,0.7234977541294406,2024-06-12 13:10:00+00:00,2024-06-12 13:25:00+00:00,2024-06-12 13:30:00+00:00,2024-06-12 14:25:00+00:00,0.0060616877857331,0.0376271513281589,continuation,0.9341292731144875,min_quota
AAPL_20250211_140000,AAPL,2025-02-11 14:00:00+00:00,1,21,193.90532714475884,6.030943439136052,1426.1818598259276,67.64887967155454,0.2222534104977309,2025-02-11 13:45:00+00:00,2025-02-11 14:00:00+00:00,2025-02-11 14:05:00+00:00,2025-02-11 15:00:00+00:00,0.014767652650661,0.0069713737963488,continuation,0.9306100631421592,min_quota
AAPL_20251215_142500,AAPL,2025-12-15 14:25:00+00:00,1,6,189.4821064882235,7.517786312194304,1395.279811097993,54.83566601609327,0.1601552919471361,2025-12-15 14:10:00+00:00,2025-12-15 14:25:00+00:00,2025-12-15 14:30:00+00:00,2025-12-15 15:25:00+00:00,0.0041575570768073,-0.0215048006567442,reversal,0.9293761456615044,min_quota
AAPL_20260224_143000,AAPL,2026-02-24 14:30:00+00:00,1,5,233.8297316463267,6.62924524099019,1388.208992248062,31.67877737168591,0.026761757780501,2026-02-24 14:15:00+00:00,2026-02-24 14:30:00+00:00,2026-02-24 14:35:00+00:00,2026-02-24 15:30:00+00:00,0.0176085329341317,0.0024824846913444,unclear,0.9115347695079896,high_strength_unclear
AAPL_20250806_121500,AAPL,2025-08-06 12:15:00+00:00,1,14,203.307392996106,5.375573308683163,1676.3657344025034,40.26891610006362,0.4979060980710124,2025-08-06 12:00:00+00:00,2025-08-06 12:15:00+00:00,2025-08-06 12:20:00+00:00,2025-08-06 13:15:00+00:00,0.0086890600918447,0.0017056107975286,unclear,0.9102129673658261,high_strength_unclear
AAPL_20250620_132500,AAPL,2025-06-20 13:25:00+00:00,1,6,149.62782925718176,7.629981484950674,2785.2610451906085,23.366292563679213,0.1119494113628458,2025-06-20 13:10:00+00:00,2025-06-20 13:25:00+00:00,2025-06-20 13:30:00+00:00,2025-06-20 14:25:00+00:00,0.0040038518068015,0.0029278142352346,unclear,0.9042319305131765,high_strength_unclear
AAPL_20250523_111500,AAPL,2025-05-23 11:15:00+00:00,-1,14,323.06035587919445,6.662415636748741,421.6568329718005,74.74851257039805,0.9983238338299438,2025-05-23 11:00:00+00:00,2025-05-23 11:15:00+00:00,2025-05-23 11:20:00+00:00,2025-05-23 12:15:00+00:00,-0.0124069478908188,-0.0238688442211054,continuation,0.8999789949174601,min_quota
