event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy
AAPL_20240529_133000,AAPL,2024-05-29 13:30:00+00:00,1,6,79.11809694604256,4.678376859052369,592.8367075119872,15.0992563618663,0.04475256614278003,2024-05-29 13:15:00+00:00,2024-05-29 13:30:00+00:00,2024-05-29 13:35:00+00:00,2024-05-29 14:30:00+00:00,0.003686679139904614,0.0070514165792234795,continuation
AAPL_20240530_133000,AAPL,2024-05-30 13:30:00+00:00,1,6,61.58926512213503,4.878508837697829,964.5144170497284,10.696058432255178,0.03618789606972106,2024-05-30 13:15:00+00:00,2024-05-30 13:30:00+00:00,2024-05-30 13:35:00+00:00,2024-05-30 14:30:00+00:00,0.004198152812762368,-0.0014501463210702115,unclear
AAPL_20240603_134000,AAPL,2024-06-03 13:40:00+00:00,1,3,62.13431367472877,4.629304736420128,366.843182340768,9.955124568008076,0.054794537235294156,2024-06-03 13:25:00+00:00,2024-06-03 13:40:00+00:00,2024-06-03 13:45:00+00:00,2024-06-03 14:40:00+00:00,0.004455727682503463,0.00392015267963064,continuation
AAPL_20240604_132500,AAPL,2024-06-04 13:25:00+00:00,1,2,63.59875904860868,4.470083299111389,272.6974753958066,19.657066926762294,0.17491935965070046,2024-06-04 13:10:00+00:00,2024-06-04 13:25:00+00:00,2024-06-04 13:30:00+00:00,2024-06-04 14:25:00+00:00,0.0030923053136113765,-0.003082772440014314,reversal
AAPL_20240607_123500,AAPL,2024-06-07 12:35:00+00:00,-1,5,67.5780242455537,5.719226177751079,51.06402512684223,16.264346619177413,0.5970466635447472,2024-06-07 12:20:00+00:00,2024-06-07 12:35:00+00:00,2024-06-07 12:40:00+00:00,2024-06-07 13:35:00+00:00,-0.003790595225899085,-0.0007198683669271677,unclear
AAPL_20240610_133500,AAPL,2024-06-10 13:35:00+00:00,-1,3,75.24439455111276,5.387171963445524,231.3459630864298,11.210938974180225,0.09991665321639426,2024-06-10 13:20:00+00:00,2024-06-10 13:35:00+00:00,2024-06-10 13:40:00+00:00,2024-06-10 14:35:00+00:00,-0.006825822630012857,-0.0014804226862014103,unclear
AAPL_20240610_173000,AAPL,2024-06-10 17:30:00+00:00,-1,3,107.02527530369154,5.074054570158581,5.589432630827882,5.5011095242151535,1.4680417906227403,2024-06-10 17:15:00+00:00,2024-06-10 17:30:00+00:00,2024-06-10 17:35:00+00:00,2024-06-10 18:30:00+00:00,-0.006884438435556195,-0.011226826888512176,continuation
AAPL_20240610_181500,AAPL,2024-06-10 18:15:00+00:00,-1,4,154.86955617919352,4.630166127775679,6.6109168323212195,10.592294314037165,2.4928914325499862,2024-06-10 18:00:00+00:00,2024-06-10 18:15:00+00:00,2024-06-10 18:20:00+00:00,2024-06-10 19:15:00+00:00,-0.015250767656090125,0.008315143955929916,reversal
AAPL_20240611_133000,AAPL,2024-06-11 13:30:00+00:00,1,24,187.74243599690044,5.894175083030541,510.2945112332046,16.863027332432367,0.06968392267939662,2024-06-11 13:15:00+00:00,2024-06-11 13:30:00+00:00,2024-06-11 13:35:00+00:00,2024-06-11 14:30:00+00:00,0.012998087756473042,0.02609627305425888,continuation
AAPL_20240612_132500,AAPL,2024-06-12 13:25:00+00:00,1,10,262.5406533663499,7.447603681136468,612.4992705098949,18.04169181404551,0.7234977541294406,2024-06-12 13:10:00+00:00,2024-06-12 13:25:00+00:00,2024-06-12 13:30:00+00:00,2024-06-12 14:25:00+00:00,0.0060616877857331275,0.03762715132815897,continuation
