event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,strength_score,keep_reason
AAPL_20251120_143000,AAPL,2025-11-20 14:30:00+00:00,1,9,145.60017717407004,6.423444192292013,1210.9664816870145,15.63453306087073,0.0293587196580667,2025-11-20 14:10:00+00:00,2025-11-20 14:30:00+00:00,2025-11-20 14:35:00+00:00,2025-11-20 15:30:00+00:00,0.0089027911453321,0.0064998440624484,continuation,0.8068409452234904,min_quota
AAPL_20251111_143500,AAPL,2025-11-11 14:35:00+00:00,1,9,124.35507783543854,6.571926885351672,938.9822552947912,28.19692856504735,0.0447262369589204,2025-11-11 14:15:00+00:00,2025-11-11 14:35:00+00:00,2025-11-11 14:40:00+00:00,2025-11-11 15:35:00+00:00,0.0045188888888889,0.0096228118786181,continuation,0.7897680327534151,min_quota
AAPL_20260105_143000,AAPL,2026-01-05 14:30:00+00:00,-1,8,106.49599475162086,5.604391853366496,1645.2766740250183,47.1355928634694,0.0706129805950527,2026-01-05 14:10:00+00:00,2026-01-05 14:30:00+00:00,2026-01-05 14:35:00+00:00,2026-01-05 15:30:00+00:00,-0.0103282256014713,0.0065865741241197,reversal,0.7880015717825122,min_quota
AAPL_20251031_133000,AAPL,2025-10-31 13:30:00+00:00,-1,9,258.8697133545681,5.856371472435643,281.8451266268485,10.262115316201756,0.0669470359787008,2025-10-31 13:10:00+00:00,2025-10-31 13:30:00+00:00,2025-10-31 13:35:00+00:00,2025-10-31 14:30:00+00:00,-0.016747703943814,-0.0089010989010989,continuation,0.7579772369322004,min_quota
AAPL_20260106_143000,AAPL,2026-01-06 14:30:00+00:00,-1,3,126.2463509876044,6.279095587897799,1082.036231884058,43.17780614846815,0.0415557086465101,2026-01-06 14:10:00+00:00,2026-01-06 14:30:00+00:00,2026-01-06 14:35:00+00:00,2026-01-06 15:30:00+00:00,-0.0086907660610601,-0.00162491025205,unclear,0.7394729951889453,high_strength_unclear
AAPL_20251125_143000,AAPL,2025-11-25 14:30:00+00:00,1,3,201.239518775056,6.218475025474709,877.1726976018164,20.216252717437296,0.028873189996248,2025-11-25 14:10:00+00:00,2025-11-25 14:30:00+00:00,2025-11-25 14:35:00+00:00,2025-11-25 15:30:00+00:00,0.0146078467086809,0.0035189573459715,continuation,0.7331835026053227,min_quota
AAPL_20251211_143000,AAPL,2025-12-11 14:30:00+00:00,-1,8,136.37577164277826,6.288825221539413,496.16724454415663,13.490837515883694,0.0515931236866522,2025-12-11 14:10:00+00:00,2025-12-11 14:30:00+00:00,2025-12-11 14:35:00+00:00,2025-12-11 15:30:00+00:00,-0.0045804258364643,-0.0089873099183952,continuation,0.7300765478907223,min_quota
AAPL_20251103_143000,AAPL,2025-11-03 14:30:00+00:00,-1,5,111.21287452571238,6.101493885911368,582.3020452390627,10.083002769721856,0.0454889737094954,2025-11-03 14:10:00+00:00,2025-11-03 14:30:00+00:00,2025-11-03 14:35:00+00:00,2025-11-03 15:30:00+00:00,-0.0035527922726766,-0.003936861652739,continuation,0.6539194699282206,min_quota
AAPL_20251229_143000,AAPL,2025-12-29 14:30:00+00:00,1,3,80.31478689368265,6.530751520869149,820.7650825749915,36.86735746787426,0.0570069360052985,2025-12-29 14:10:00+00:00,2025-12-29 14:30:00+00:00,2025-12-29 14:35:00+00:00,2025-12-29 15:30:00+00:00,0.0042983100661277,0.0019387643121042,unclear,0.6402855605693932,high_strength_unclear
AAPL_20251117_143000,AAPL,2025-11-17 14:30:00+00:00,-1,4,79.6489614986462,4.268936251444297,737.8314838709678,13.630918490945527,0.054287861781455,2025-11-17 14:10:00+00:00,2025-11-17 14:30:00+00:00,2025-11-17 14:35:00+00:00,2025-11-17 15:30:00+00:00,-0.0053940520446097,0.0049374133336324,reversal,0.5299075103915681,min_quota
AMD_20260114_143500,AMD,2026-01-14 14:35:00+00:00,-1,23,257.30724971231746,5.251554569264882,269.9484596659112,11.501387804504953,0.7431913788572839,2026-01-14 14:15:00+00:00,2026-01-14 14:35:00+00:00,2026-01-14 14:40:00+00:00,2026-01-14 15:35:00+00:00,-0.0028069206699796,0.0304093027548335,reversal,0.8175671531105513,min_quota
AMD_20260113_143000,AMD,2026-01-13 14:30:00+00:00,1,16,289.38682534517034,4.32925277101701,670.3195250831757,29.505408490086246,0.4557140217869538,2026-01-13 14:10:00+00:00,2026-01-13 14:30:00+00:00,2026-01-13 14:35:00+00:00,2026-01-13 15:30:00+00:00,0.0250837365091178,-0.0120806709265175,reversal,0.807728066983814,min_quota
AMD_20251022_133000,AMD,2025-10-22 13:30:00+00:00,-1,30,218.33214908597571,5.150988176430928,382.5383754754979,12.922517213681292,0.5922908248668032,2025-10-22 13:10:00+00:00,2025-10-22 13:30:00+00:00,2025-10-22 13:35:00+00:00,2025-10-22 14:30:00+00:00,-0.0037960268252562,-0.0168296710275625,continuation,0.789983577426187,min_quota
AMD_20251114_143000,AMD,2025-11-14 14:30:00+00:00,-1,21,320.70044889173533,4.61349437864829,252.3661933860532,9.10622079719015,0.2917483975267371,2025-11-14 14:10:00+00:00,2025-11-14 14:30:00+00:00,2025-11-14 14:35:00+00:00,2025-11-14 15:30:00+00:00,-0.0160822123193536,0.0406876657417929,reversal,0.7534841873202345,min_quota
AMD_20251118_143000,AMD,2025-11-18 14:30:00+00:00,-1,14,255.1542326080547,5.707037649483839,324.2675229070405,11.418180999984942,0.0554149311598935,2025-11-18 14:10:00+00:00,2025-11-18 14:30:00+00:00,2025-11-18 14:35:00+00:00,2025-11-18 15:30:00+00:00,-0.0087089410272669,-0.0283590039485709,continuation,0.7516772960313451,min_quota
AMD_20251205_143000,AMD,2025-12-05 14:30:00+00:00,1,19,224.98615469817463,4.792179950838591,698.3070671378092,38.77663547494041,0.0818246612419706,2025-12-05 14:10:00+00:00,2025-12-05 14:30:00+00:00,2025-12-05 14:35:00+00:00,2025-12-05 15:30:00+00:00,0.0219326568265683,-0.0028435377220102,unclear,0.7297106574304681,high_strength_unclear
AMD_20251111_182500,AMD,2025-11-11 18:25:00+00:00,-1,7,347.3841743602724,4.497895300765222,16.335527634377428,10.70982757240127,1.6023307402511284,2025-11-11 18:05:00+00:00,2025-11-11 18:25:00+00:00,2025-11-11 18:30:00+00:00,2025-11-11 19:25:00+00:00,-0.0039298537204858,0.005161994292429,reversal,0.7155743596802135,min_quota
