ticker,announce_dt_et,timing,eps_estimate,reported_eps,surprise_pct
AAPL,2024-08-01T16:00:00-04:00,AMC,1.34,1.4,4.36
AAPL,2024-10-31T16:00:00-04:00,AMC,0.95,0.97,2.48
AAPL,2025-01-30T16:00:00-05:00,AMC,2.34,2.4,2.52
AAPL,2025-05-01T16:00:00-04:00,AMC,1.62,1.65,1.69
AAPL,2025-07-31T16:00:00-04:00,AMC,1.43,1.57,10.12
AAPL,2025-10-30T16:00:00-04:00,AMC,1.77,1.85,4.52
AAPL,2026-01-29T16:00:00-05:00,AMC,2.67,2.84,6.25
AMD,2024-07-30T16:00:00-04:00,AMC,0.68,0.69,1.26
AMD,2024-10-29T16:00:00-04:00,AMC,0.92,0.92,0.46
AMD,2025-02-04T16:00:00-05:00,AMC,1.09,1.09,0.36
AMD,2025-05-06T16:00:00-04:00,AMC,0.93,0.96,2.83
AMD,2025-08-05T16:00:00-04:00,AMC,-0.05,0.54,1240.2
AMD,2025-11-04T16:00:00-05:00,AMC,0.68,0.75,10.04
AMD,2026-02-03T16:00:00-05:00,AMC,1.32,1.53,15.98
AMZN,2024-08-01T12:00:00-04:00,INTRADAY,1.02,1.26,23.76
AMZN,2024-10-31T16:00:00-04:00,AMC,1.14,1.43,25.17
AMZN,2025-02-06T16:00:00-05:00,AMC,1.48,1.86,25.36
AMZN,2025-05-01T16:00:00-04:00,AMC,1.36,1.59,17.08
AMZN,2025-07-31T16:00:00-04:00,AMC,1.33,1.68,26.13
AMZN,2025-10-30T16:00:00-04:00,AMC,1.56,1.95,25.2
AMZN,2026-02-05T16:00:00-05:00,AMC,1.95,1.95,0.22
AMZN,2026-04-29T16:00:00-04:00,AMC,1.65,2.78,68.18
COIN,2024-08-01T16:00:00-04:00,AMC,0.8,0.14,-82.45
COIN,2024-10-30T16:00:00-04:00,AMC,0.42,0.28,-33.33
COIN,2025-02-13T16:00:00-05:00,AMC,2.04,4.68,128.96
COIN,2025-05-08T16:00:00-04:00,AMC,1.9,0.24,-87.38
COIN,2025-07-31T16:00:00-04:00,AMC,1.49,5.14,245.59
COIN,2025-10-30T16:00:00-04:00,AMC,1.13,1.5,32.96
COIN,2026-02-12T16:00:00-05:00,AMC,0.94,-2.49,-364.89
GOOGL,2024-07-23T16:00:00-04:00,AMC,1.84,1.89,2.54
GOOGL,2024-10-29T16:00:00-04:00,AMC,1.85,2.12,14.83
GOOGL,2025-02-04T16:00:00-05:00,AMC,2.13,2.15,1.18
GOOGL,2025-04-24T16:00:00-04:00,AMC,2.01,2.81,40.1
GOOGL,2025-07-23T16:00:00-04:00,AMC,2.19,2.31,5.67
GOOGL,2025-10-29T16:00:00-04:00,AMC,2.26,2.87,26.88
GOOGL,2026-02-04T16:00:00-05:00,AMC,2.64,2.82,7.01
GOOGL,2026-04-29T16:00:00-04:00,AMC,2.63,5.11,94.3
JPM,2024-07-12T06:00:00-04:00,BMO,4.53,6.12,35.02
JPM,2024-10-11T06:00:00-04:00,BMO,3.99,4.37,9.63
JPM,2025-01-15T06:00:00-05:00,BMO,4.04,4.81,19.18
JPM,2025-04-11T06:00:00-04:00,BMO,4.64,5.07,9.15
JPM,2025-07-15T06:00:00-04:00,BMO,4.48,4.96,10.62
JPM,2025-10-14T06:00:00-04:00,BMO,4.87,5.07,4.01
JPM,2026-01-13T06:00:00-05:00,BMO,4.82,4.63,-3.91
JPM,2026-04-14T06:00:00-04:00,BMO,5.51,5.94,7.78
META,2024-07-31T16:00:00-04:00,AMC,4.76,5.16,8.45
META,2024-10-30T16:00:00-04:00,AMC,5.29,6.03,13.94
META,2025-01-29T16:00:00-05:00,AMC,6.76,8.02,18.67
META,2025-04-30T16:00:00-04:00,AMC,5.22,6.43,23.11
META,2025-07-30T16:00:00-04:00,AMC,5.9,7.14,20.96
META,2025-10-29T16:00:00-04:00,AMC,6.71,1.05,-84.34
META,2026-01-28T16:00:00-05:00,AMC,8.22,8.88,8.0
META,2026-04-29T16:00:00-04:00,AMC,6.82,7.31,7.2
MSFT,2024-07-30T16:00:00-04:00,AMC,2.94,2.95,0.23
MSFT,2024-10-30T16:00:00-04:00,AMC,3.11,3.3,6.13
MSFT,2025-01-29T16:00:00-05:00,AMC,3.12,3.23,3.47
MSFT,2025-04-30T16:00:00-04:00,AMC,3.22,3.46,7.4
MSFT,2025-07-30T16:00:00-04:00,AMC,3.38,3.65,8.09
MSFT,2025-10-29T16:00:00-04:00,AMC,3.66,4.13,12.73
MSFT,2026-01-28T16:00:00-05:00,AMC,3.92,4.14,5.69
MSFT,2026-04-29T16:00:00-04:00,AMC,4.06,4.27,5.22
NFLX,2024-07-18T16:00:00-04:00,AMC,0.47,0.49,2.92
NFLX,2024-10-17T16:00:00-04:00,AMC,0.51,0.54,5.56
NFLX,2025-01-21T16:00:00-05:00,AMC,0.42,0.43,1.78
NFLX,2025-04-17T16:00:00-04:00,AMC,0.57,0.66,16.82
NFLX,2025-07-17T16:00:00-04:00,AMC,0.7,0.72,2.24
NFLX,2025-10-21T16:00:00-04:00,AMC,0.7,0.59,-15.79
NFLX,2026-01-20T16:00:00-05:00,AMC,0.55,0.56,1.43
NFLX,2026-04-16T16:00:00-04:00,AMC,1.25,1.23,-1.4
NVDA,2024-08-28T16:00:00-04:00,AMC,0.64,0.68,5.66
NVDA,2024-11-20T16:00:00-05:00,AMC,0.75,0.81,8.52
NVDA,2025-02-26T16:00:00-05:00,AMC,0.85,0.89,5.25
NVDA,2025-05-28T16:00:00-04:00,AMC,0.75,0.81,8.02
NVDA,2025-08-27T16:00:00-04:00,AMC,1.01,1.05,4.1
NVDA,2025-11-19T16:00:00-05:00,AMC,1.26,1.3,3.46
NVDA,2026-02-25T16:00:00-05:00,AMC,1.54,1.62,5.32
PLTR,2024-08-05T16:00:00-04:00,AMC,0.08,0.09,10.55
PLTR,2024-11-04T16:00:00-05:00,AMC,0.09,0.1,10.06
PLTR,2025-02-03T16:00:00-05:00,AMC,0.11,0.14,23.72
PLTR,2025-05-05T16:00:00-04:00,AMC,0.13,0.13,1.11
PLTR,2025-08-04T16:00:00-04:00,AMC,0.14,0.16,15.57
PLTR,2025-11-03T16:00:00-05:00,AMC,0.17,0.21,25.46
PLTR,2026-02-02T16:00:00-05:00,AMC,0.23,0.25,8.6
TSLA,2024-07-23T20:00:00-04:00,AMC,0.62,0.52,-16.15
TSLA,2024-10-23T16:00:00-04:00,AMC,0.5,0.62,24.76
TSLA,2025-01-29T16:00:00-05:00,AMC,0.77,0.73,-4.83
TSLA,2025-04-22T16:00:00-04:00,AMC,0.41,0.27,-34.89
TSLA,2025-07-23T16:00:00-04:00,AMC,0.4,0.4,-0.97
TSLA,2025-10-22T16:00:00-04:00,AMC,0.44,0.39,-12.16
TSLA,2026-01-28T16:00:00-05:00,AMC,0.34,0.24,-29.32
TSLA,2026-04-22T16:00:00-04:00,AMC,0.35,0.41,17.15
