event_id,ticker,announce_date,timing,surprise_pct,reaction_date,reaction_ret,reaction_dir,drift_1d,abn_drift_1d,label_1d,drift_3d,abn_drift_3d,label_3d,drift_5d,abn_drift_5d,label_5d,drift_10d,abn_drift_10d,label_10d,drift_20d,abn_drift_20d,label_20d
AAPL_2024-08-01,AAPL,2024-08-01,AMC,4.36,2024-08-02,0.0069,1,-0.0482,-0.019,reversal,-0.0457,-0.0189,reversal,-0.0165,-0.0166,reversal,0.0293,-0.0108,continuation,0.0428,-0.015,continuation
AAPL_2024-10-31,AAPL,2024-10-31,AMC,2.48,2024-11-01,-0.0133,-1,-0.004,-0.0019,unclear,-0.0009,-0.0359,unclear,0.0193,-0.0283,reversal,0.0105,-0.0153,reversal,0.076,0.0189,reversal
AAPL_2025-01-30,AAPL,2025-01-30,AMC,2.52,2025-01-31,-0.0067,-1,-0.0339,-0.0271,continuation,-0.015,-0.0189,continuation,-0.0355,-0.0337,continuation,0.0376,0.0245,reversal,0.0097,0.0397,unclear
AAPL_2025-05-01,AAPL,2025-05-01,AMC,1.69,2025-05-02,-0.0374,-1,-0.0315,-0.0257,continuation,-0.0443,-0.0344,continuation,-0.0332,-0.0289,continuation,0.0301,-0.0183,reversal,-0.0165,-0.0623,continuation
AAPL_2025-07-31,AAPL,2025-07-31,AMC,10.12,2025-08-01,-0.025,-1,0.0048,-0.0104,unclear,0.0537,0.0359,reversal,0.1333,0.1084,reversal,0.1456,0.1107,reversal,0.1484,0.1108,reversal
AAPL_2025-10-30,AAPL,2025-10-30,AMC,4.52,2025-10-31,-0.0038,-1,-0.0049,-0.0068,unclear,-0.0009,0.0057,unclear,-0.007,0.0092,unclear,0.0085,0.0234,unclear,0.0481,0.0507,reversal
AAPL_2026-01-29,AAPL,2026-01-29,AMC,6.25,2026-01-30,0.0046,1,0.0406,0.0356,continuation,0.0656,0.0739,continuation,0.0718,0.0738,continuation,-0.0133,0.0014,reversal,0.0211,0.0292,continuation
AMD_2024-07-30,AMD,2024-07-30,AMC,1.26,2024-07-31,0.0436,1,-0.0826,-0.0685,reversal,-0.0669,-0.0062,reversal,-0.1094,-0.0511,reversal,-0.0258,-0.013,reversal,0.013,-0.0006,continuation
AMD_2024-10-29,AMD,2024-10-29,AMC,0.46,2024-10-30,-0.1062,-1,-0.0305,-0.0109,continuation,-0.0531,-0.0355,continuation,-0.0236,-0.0426,continuation,-0.0626,-0.0922,continuation,-0.0832,-0.1156,continuation
AMD_2025-02-04,AMD,2025-02-04,AMC,0.36,2025-02-05,-0.0627,-1,-0.0165,-0.02,continuation,-0.0137,-0.0147,continuation,-0.0026,-0.0012,unclear,0.0193,0.0091,reversal,-0.1175,-0.0653,continuation
AMD_2025-05-06,AMD,2025-05-06,AMC,2.83,2025-05-07,0.0176,1,0.0134,0.0064,continuation,0.0773,0.0384,continuation,0.173,0.1259,continuation,0.1166,0.0779,continuation,0.1528,0.0959,continuation
AMD_2025-08-05,AMD,2025-08-05,AMC,1240.2,2025-08-06,-0.0642,-1,0.0569,0.0577,reversal,0.0562,0.0512,reversal,0.1306,0.1114,reversal,0.0128,0.0043,reversal,-0.0082,-0.034,unclear
AMD_2025-11-04,AMD,2025-11-04,AMC,10.04,2025-11-05,0.0251,1,-0.0727,-0.062,reversal,-0.0482,-0.0539,reversal,0.01,0.0014,unclear,-0.1279,-0.1058,reversal,-0.1574,-0.1675,reversal
AMD_2026-02-03,AMD,2026-02-03,AMC,15.98,2026-02-04,-0.1731,-1,-0.0384,-0.0259,continuation,0.079,0.0677,reversal,0.0669,0.0585,reversal,0.0159,0.0184,reversal,-0.0037,0.0034,unclear
AMZN_2024-08-01,AMZN,2024-08-01,INTRADAY,23.76,2024-08-02,-0.0878,-1,-0.041,-0.0119,continuation,-0.0306,-0.0038,continuation,-0.0057,-0.0059,unclear,0.0546,0.0144,reversal,0.0631,0.0054,reversal
AMZN_2024-10-31,AMZN,2024-10-31,AMC,25.17,2024-11-01,0.0619,1,-0.0109,-0.0087,reversal,0.0463,0.0113,continuation,0.0518,0.0042,continuation,0.0236,-0.0021,continuation,0.0646,0.0075,continuation
AMZN_2025-02-06,AMZN,2025-02-06,AMC,25.36,2025-02-07,-0.0405,-1,0.0174,0.0106,reversal,-0.001,-0.0053,unclear,-0.0021,-0.0169,unclear,-0.0717,-0.0658,continuation,-0.151,-0.0841,continuation
AMZN_2025-05-01,AMZN,2025-05-01,AMC,17.08,2025-05-02,-0.0012,-1,-0.0191,-0.0134,continuation,-0.0067,0.0032,unclear,0.0162,0.0205,reversal,0.0822,0.0338,reversal,0.0877,0.042,reversal
AMZN_2025-07-31,AMZN,2025-07-31,AMC,26.13,2025-08-01,-0.0827,-1,-0.0144,-0.0296,continuation,0.0352,0.0174,reversal,0.037,0.0121,reversal,0.0758,0.0409,reversal,0.0664,0.0288,reversal
AMZN_2025-10-30,AMZN,2025-10-30,AMC,25.2,2025-10-31,0.0958,1,0.04,0.0382,continuation,0.0245,0.0311,continuation,0.0008,0.017,unclear,-0.039,-0.0242,reversal,-0.0423,-0.0397,reversal
AMZN_2026-02-05,AMZN,2026-02-05,AMC,0.22,2026-02-06,-0.0555,-1,-0.0076,-0.0124,unclear,-0.0297,-0.0316,continuation,-0.0548,-0.042,continuation,-0.024,-0.0121,continuation,0.0151,0.033,reversal
AMZN_2026-04-29,AMZN,2026-04-29,AMC,68.18,2026-04-30,0.0077,1,0.0121,0.0093,continuation,0.032,0.0249,continuation,0.0231,0.0051,continuation,0.0081,-0.0329,unclear,0.0211,-0.0316,continuation
COIN_2024-08-01,COIN,2024-08-01,AMC,-82.45,2024-08-02,-0.0386,-1,-0.0732,-0.0441,continuation,-0.1249,-0.0982,continuation,-0.0399,-0.04,continuation,0.0043,-0.0359,unclear,-0.1031,-0.1609,continuation
COIN_2024-10-30,COIN,2024-10-30,AMC,-33.33,2024-10-31,-0.1534,-1,0.0203,0.016,reversal,0.0821,0.0679,reversal,0.4258,0.3784,reversal,0.5556,0.5121,reversal,0.6524,0.5928,reversal
COIN_2025-02-13,COIN,2025-02-13,AMC,128.96,2025-02-14,-0.0798,-1,-0.0353,-0.0382,continuation,-0.0646,-0.0657,continuation,-0.1722,-0.1517,continuation,-0.2499,-0.2074,continuation,-0.3111,-0.2414,continuation
COIN_2025-05-08,COIN,2025-05-08,AMC,-87.38,2025-05-09,-0.0348,-1,0.0396,0.0066,reversal,0.3215,0.2803,reversal,0.3368,0.2839,reversal,0.3203,0.2941,reversal,0.2875,0.2249,reversal
COIN_2025-07-31,COIN,2025-07-31,AMC,245.59,2025-08-01,-0.167,-1,0.0111,-0.0041,reversal,-0.0353,-0.0531,continuation,-0.0132,-0.0381,continuation,0.0091,-0.0258,unclear,-0.0323,-0.0698,continuation
