event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy
AAPL_20251106_151500,AAPL,2025-11-06 15:15:00+00:00,1,3,108.00096330190634,4.462199787634263,5.170672169293586,5.251772712697357,2.981440236631042,2025-11-06 15:00:00+00:00,2025-11-06 15:15:00+00:00,2025-11-06 15:20:00+00:00,2025-11-06 16:15:00+00:00,0.007530232213072363,0.0005154449394351168,unclear
AAPL_20260102_151000,AAPL,2026-01-02 15:10:00+00:00,-1,4,93.15774092204742,3.5530264451588853,3.2828449458398374,5.396815798931103,3.002680196456465,2026-01-02 14:55:00+00:00,2026-01-02 15:10:00+00:00,2026-01-02 15:15:00+00:00,2026-01-02 16:10:00+00:00,-0.005217454099041285,-0.0177489020362237,continuation
AMD_20251022_141000,AMD,2025-10-22 14:10:00+00:00,-1,7,218.33214908597574,4.561548852835181,3.673207431225284,5.760064369269011,3.332558306530385,2025-10-22 13:55:00+00:00,2025-10-22 14:10:00+00:00,2025-10-22 14:15:00+00:00,2025-10-22 15:10:00+00:00,-0.00879212895122461,-0.020443505807814177,continuation
AMD_20251111_182500,AMD,2025-11-11 18:25:00+00:00,-1,6,347.38417436027237,4.787734318581552,13.449078984046832,10.364252575441974,2.4548132853191773,2025-11-11 18:10:00+00:00,2025-11-11 18:25:00+00:00,2025-11-11 18:30:00+00:00,2025-11-11 19:25:00+00:00,-0.006545757765269888,0.0051619942924290285,reversal
AMD_20251119_210000,AMD,2025-11-19 21:00:00+00:00,1,1,378.720767406453,4.316893150347194,0.40222383038648096,6.128551443256001,34.15726400166076,2025-11-19 20:45:00+00:00,2025-11-19 21:00:00+00:00,2025-11-20 14:30:00+00:00,2025-11-20 15:25:00+00:00,0.03787207674064508,-0.01136124352367518,reversal
AMD_20251202_160000,AMD,2025-12-02 16:00:00+00:00,-1,4,223.28876699805988,3.781578337104091,5.571048706141773,7.031933101941829,2.7072783172757693,2025-12-02 15:45:00+00:00,2025-12-02 16:00:00+00:00,2025-12-02 16:05:00+00:00,2025-12-02 17:00:00+00:00,-0.021841187516766447,-0.0045023425894183955,continuation
AMD_20251208_175500,AMD,2025-12-08 17:55:00+00:00,1,3,178.2421634910869,3.5837004585895396,5.039651534685645,5.486877363752856,1.5207127188583625,2025-12-08 17:40:00+00:00,2025-12-08 17:55:00+00:00,2025-12-08 18:00:00+00:00,2025-12-08 18:55:00+00:00,0.005235125415395947,-0.0042115750384928985,reversal
AMD_20251212_155500,AMD,2025-12-12 15:55:00+00:00,-1,2,193.09893176284731,3.618979268515509,3.4353715314884425,5.604268086946371,2.939441731549732,2025-12-12 15:40:00+00:00,2025-12-12 15:55:00+00:00,2025-12-12 16:00:00+00:00,2025-12-12 16:55:00+00:00,-0.008946877912395124,-0.010062065074290083,continuation
AMD_20251231_144500,AMD,2025-12-31 14:45:00+00:00,1,2,81.68948711997581,4.227070569618897,5.659638682252923,6.153840064485921,3.125315048588027,2025-12-31 14:30:00+00:00,2025-12-31 14:45:00+00:00,2025-12-31 14:50:00+00:00,2025-12-31 15:45:00+00:00,0.008117521043962572,-0.004976155919552028,reversal
META_20251208_144500,META,2025-12-08 14:45:00+00:00,-1,2,97.66123104157032,3.583621715304175,2.8050547253140166,4.61406829407882,2.6413239850840866,2025-12-08 14:30:00+00:00,2025-12-08 14:45:00+00:00,2025-12-08 14:50:00+00:00,2025-12-08 15:45:00+00:00,-0.009671668399940603,0.0038854468263849196,reversal
META_20260102_155000,META,2026-01-02 15:50:00+00:00,-1,5,119.51994080194427,4.7986552463139365,10.932592917497704,6.643239733141771,2.3431679895009534,2026-01-02 15:35:00+00:00,2026-01-02 15:50:00+00:00,2026-01-02 15:55:00+00:00,2026-01-02 16:50:00+00:00,-0.005477403802142011,-0.008407100010739077,continuation
MSFT_20260113_151500,MSFT,2026-01-13 15:15:00+00:00,-1,7,88.44647867789269,4.437066721236158,6.3248131533338645,5.278738424872464,2.2224362564837876,2026-01-13 15:00:00+00:00,2026-01-13 15:15:00+00:00,2026-01-13 15:20:00+00:00,2026-01-13 16:15:00+00:00,-0.006842299772979121,-0.0033277693313629175,continuation
NFLX_20251021_200000,NFLX,2025-10-21 20:00:00+00:00,-1,1,667.7959980394421,4.9635747879915035,10.969316994395363,61.81008060330471,11.742057765044123,2025-10-21 19:45:00+00:00,2025-10-21 20:00:00+00:00,2025-10-22 13:30:00+00:00,2025-10-22 14:25:00+00:00,-0.06259924713241272,-0.03433568658474717,continuation
NVDA_20251208_175500,NVDA,2025-12-08 17:55:00+00:00,1,6,229.7470599470697,5.039183157705559,9.270065382294508,10.201825951757368,2.4863547122523975,2025-12-08 17:40:00+00:00,2025-12-08 17:55:00+00:00,2025-12-08 18:00:00+00:00,2025-12-08 18:55:00+00:00,0.014715919949763956,-0.007533767421837201,reversal
NVDA_20251212_155500,NVDA,2025-12-12 15:55:00+00:00,-1,3,180.19801980198037,4.226803928129996,3.608435912897432,5.781460897151307,3.5580717836850146,2025-12-12 15:40:00+00:00,2025-12-12 15:55:00+00:00,2025-12-12 16:00:00+00:00,2025-12-12 16:55:00+00:00,-0.015048791873207845,-0.007955314827352677,continuation
PLTR_20251022_141000,PLTR,2025-10-22 14:10:00+00:00,-1,7,208.8549965854769,4.839573840428047,8.003413662263169,5.314435625944029,2.9210467043056267,2025-10-22 13:55:00+00:00,2025-10-22 14:10:00+00:00,2025-10-22 14:15:00+00:00,2025-10-22 15:10:00+00:00,-0.008976377952755854,-0.031354805255630724,continuation
PLTR_20251022_152000,PLTR,2025-10-22 15:20:00+00:00,-1,4,196.14402676291886,3.6895339792011876,8.916927409896473,6.08142650270654,2.385687438349881,2025-10-22 15:05:00+00:00,2025-10-22 15:20:00+00:00,2025-10-22 15:25:00+00:00,2025-10-22 16:20:00+00:00,-0.013347340974248278,0.0010496238847745865,unclear
PLTR_20251223_150000,PLTR,2025-12-23 15:00:00+00:00,-1,1,118.09479215441065,3.825488485701607,3.6487812888544817,4.083319155667017,2.883279103869084,2025-12-23 14:45:00+00:00,2025-12-23 15:00:00+00:00,2025-12-23 15:05:00+00:00,2025-12-23 16:00:00+00:00,-0.011671643187804892,0.008461058217574369,reversal
QQQ_20251022_142500,QQQ,2025-10-22 14:25:00+00:00,-1,2,47.2606912905249,3.532192598900798,3.468089055443112,4.6238396712172625,2.527786037076544,2025-10-22 14:10:00+00:00,2025-10-22 14:25:00+00:00,2025-10-22 14:30:00+00:00,2025-10-22 15:25:00+00:00,-0.0034616835922760547,-0.0038029699384279914,continuation
QQQ_20251029_183500,QQQ,2025-10-29 18:35:00+00:00,-1,4,68.1684871351762,3.6856057353609737,6.237919433394269,9.584099971629833,4.692432588401311,2025-10-29 18:20:00+00:00,2025-10-29 18:35:00+00:00,2025-10-29 18:40:00+00:00,2025-10-29 19:35:00+00:00,-0.0059545375781729915,0.004991838739837995,reversal
QQQ_20251106_153500,QQQ,2025-11-06 15:35:00+00:00,-1,2,71.2480639113111,3.830950618283109,3.4401768644839703,4.588676296208171,2.665145448172881,2025-11-06 15:20:00+00:00,2025-11-06 15:35:00+00:00,2025-11-06 15:40:00+00:00,2025-11-06 16:35:00+00:00,-0.006582565097848825,-0.004151539325659925,continuation
QQQ_20251210_190500,QQQ,2025-12-10 19:05:00+00:00,1,1,42.85989469628326,3.5076577609635153,3.719560296969116,4.185078416817508,2.3462637461819864,2025-12-10 18:50:00+00:00,2025-12-10 19:05:00+00:00,2025-12-10 19:10:00+00:00,2025-12-10 20:05:00+00:00,0.00428598946962877,0.004683279254511286,continuation
QQQ_20260102_151000,QQQ,2026-01-02 15:10:00+00:00,-1,6,82.48344236317706,3.575327607033528,5.103457892595027,7.226632817247668,3.141892394173702,2026-01-02 14:55:00+00:00,2026-01-02 15:10:00+00:00,2026-01-02 15:15:00+00:00,2026-01-02 16:10:00+00:00,-0.005022617878587932,-0.008558901095345295,continuation
SPY_20251029_183500,SPY,2025-10-29 18:35:00+00:00,-1,5,68.93120051515655,4.237706520449107,7.838393319937232,12.066717280464863,3.236712486243213,2025-10-29 18:20:00+00:00,2025-10-29 18:35:00+00:00,2025-10-29 18:40:00+00:00,2025-10-29 19:35:00+00:00,-0.006158314451480407,0.002706458927657085,unclear
SPY_20251106_153500,SPY,2025-11-06 15:35:00+00:00,-1,2,50.68853201577461,3.957263768578688,3.069186942824586,4.051392499659876,2.6657110296810864,2025-11-06 15:20:00+00:00,2025-11-06 15:35:00+00:00,2025-11-06 15:40:00+00:00,2025-11-06 16:35:00+00:00,-0.004747269024254819,-0.0027681866888915607,unclear
SPY_20251125_144500,SPY,2025-11-25 14:45:00+00:00,-1,2,67.89882098171107,4.806821002811144,4.0485648800456575,5.683729135654132,3.076603746528279,2025-11-25 14:30:00+00:00,2025-11-25 14:45:00+00:00,2025-11-25 14:50:00+00:00,2025-11-25 15:45:00+00:00,-0.00674409051868996,0.007481653031761182,reversal
SPY_20251212_155500,SPY,2025-12-12 15:55:00+00:00,-1,3,67.29158708236093,4.933329391052647,4.277120407947374,4.70818716770703,1.790555710604331,2025-12-12 15:40:00+00:00,2025-12-12 15:55:00+00:00,2025-12-12 16:00:00+00:00,2025-12-12 16:55:00+00:00,-0.005078809106830118,-0.0016437833714723071,unclear
SPY_20260102_151500,SPY,2026-01-02 15:15:00+00:00,-1,2,53.729155213488866,4.21574194467121,4.048783000826936,5.244038400741283,2.7385486346600407,2026-01-02 15:00:00+00:00,2026-01-02 15:15:00+00:00,2026-01-02 15:20:00+00:00,2026-01-02 16:15:00+00:00,-0.003758576985271489,-0.00331944139796736,continuation
TSLA_20260102_151000,TSLA,2026-01-02 15:10:00+00:00,-1,3,169.5200484663584,4.805814983842078,3.6511754870162574,5.599235025976259,3.3624832158454754,2026-01-02 14:55:00+00:00,2026-01-02 15:10:00+00:00,2026-01-02 15:15:00+00:00,2026-01-02 16:10:00+00:00,-0.0077453428501977895,-0.012246534157340783,continuation
XLK_20251022_142000,XLK,2025-10-22 14:20:00+00:00,-1,4,64.3154252158351,3.625087277314701,3.2895004299898365,5.136976672654996,4.162461516818332,2025-10-22 14:05:00+00:00,2025-10-22 14:20:00+00:00,2025-10-22 14:25:00+00:00,2025-10-22 15:20:00+00:00,-0.0033304423243711856,-0.008249503985519824,continuation
XLK_20251106_153500,XLK,2025-11-06 15:35:00+00:00,-1,2,93.90968098328844,4.242273982577044,4.107937105461285,4.821625692123922,1.8389232550310461,2025-11-06 15:20:00+00:00,2025-11-06 15:35:00+00:00,2025-11-06 15:40:00+00:00,2025-11-06 16:35:00+00:00,-0.008916979842842565,-0.003791926643455401,continuation
XLK_20251212_155500,XLK,2025-12-12 15:55:00+00:00,-1,2,111.2347052280338,3.712855506834628,4.043485035538349,4.359987269435071,1.8335537880317425,2025-12-12 15:40:00+00:00,2025-12-12 15:55:00+00:00,2025-12-12 16:00:00+00:00,2025-12-12 16:55:00+00:00,-0.0072887299731829724,-0.0044330539585787365,continuation
XLK_20251223_150000,XLK,2025-12-23 15:00:00+00:00,-1,1,46.3892543100397,4.660470962638059,2.37146213676137,4.592309507429024,3.345008588001107,2025-12-23 14:45:00+00:00,2025-12-23 15:00:00+00:00,2025-12-23 15:05:00+00:00,2025-12-23 16:00:00+00:00,-0.0046175051688489566,0.005400540054005365,reversal
XLK_20251231_144500,XLK,2025-12-31 14:45:00+00:00,-1,1,42.08057395143072,4.602505345864874,2.885248002343185,4.046677104692271,1.3446502554006488,2025-12-31 14:30:00+00:00,2025-12-31 14:45:00+00:00,2025-12-31 14:50:00+00:00,2025-12-31 15:45:00+00:00,-0.004190423851068159,-0.00010347682119216106,unclear
